% Monthly E and C indices based on ERSST v3b following
% Takahashi et al. (2011, doi:10.1029/2011GL047364)
% (no smoothing is applied)
%
% yy  mm      E         C
1922  01  -1.77081  -0.276933
1922  02  -1.40607  -0.638772
1922  03  -1.13254  -0.444649
1922  04  -1.14052  -0.427657
1922  05  -1.19023  -0.0901013
1922  06  -0.943463  -1.1278
1922  07  -0.834114  -1.20505
1922  08  -1.10329  -1.23822
1922  09  -1.45005  -1.32577
1922  10  -1.40492  -1.51858
1922  11  -1.31111  -1.22351
1922  12  -1.42903  -1.16972
1923  01  -0.772495  -1.35761
1923  02  -0.673398  -1.52453
1923  03  -0.562705  -0.679768
1923  04  -0.0720196  -0.509091
1923  05  -0.0282031  -0.534988
1923  06  0.172411  -0.547505
1923  07  0.491342  -0.819259
1923  08  0.0838687  -0.373913
1923  09  0.0478841  -0.259835
1923  10  -0.247495  -0.00611583
1923  11  -0.347846  0.225672
1923  12  -0.882969  0.563454
1924  01  -1.1899  0.959781
1924  02  -1.14495  0.382858
1924  03  -1.21659  0.0582569
1924  04  -0.973408  -0.230746
1924  05  -1.00135  -0.442793
1924  06  -1.59374  -0.757546
1924  07  -1.25092  -1.23878
1924  08  -1.37793  -1.30174
1924  09  -0.990133  -1.74862
1924  10  -0.687464  -1.98327
1924  11  -0.681082  -2.12526
1924  12  -1.0167  -2.02507
1925  01  -0.703827  -2.03977
1925  02  -0.249441  -1.97516
1925  03  0.261886  -1.64122
1925  04  0.183709  -1.2196
1925  05  0.115462  -1.22925
1925  06  0.32822  -1.08913
1925  07  0.746418  -0.670514
1925  08  0.664033  -0.377911
1925  09  0.231138  -0.11842
1925  10  -0.00339599  0.394223
1925  11  0.015735  0.774349
1925  12  0.0691534  0.968688
1926  01  0.215626  0.896394
1926  02  0.109702  0.723024
1926  03  0.13745  0.511521
1926  04  0.312492  0.370013
1926  05  -0.158482  0.364538
1926  06  -0.462976  -0.041391
1926  07  -0.779296  0.0359672
1926  08  -0.650248  -0.383359
1926  09  -0.789736  -0.714493
1926  10  -0.817052  -1.25987
1926  11  -0.708544  -1.33551
1926  12  -0.27803  -1.32946
1927  01  0.312685  -1.51454
1927  02  0.306968  -1.44184
1927  03  -0.00129189  -1.59624
1927  04  -0.486541  -1.3059
1927  05  -0.538464  -0.880097
1927  06  -0.601576  -0.698648
1927  07  -0.469291  -0.74781
1927  08  -0.344387  -0.692707
1927  09  -0.0763613  -0.652634
1927  10  -0.148653  -0.573561
1927  11  0.0230686  -0.664913
1927  12  -0.628069  -0.193115
1928  01  -0.69413  0.177825
1928  02  -0.580872  -0.0425444
1928  03  -0.340793  -0.476116
1928  04  -0.478501  -0.299917
1928  05  -0.63369  -0.373999
1928  06  -1.0519  -0.547733
1928  07  -0.90302  -0.232824
1928  08  -0.664151  -0.448515
1928  09  -0.671638  -0.69646
1928  10  -0.746074  -0.767083
1928  11  -0.751603  -0.522478
1928  12  -0.981981  -0.528629
1929  01  -1.22688  -0.608079
1929  02  -0.598101  -0.894325
1929  03  -0.129565  -0.909929
1929  04  -0.36042  -0.643964
1929  05  -0.277893  -0.721769
1929  06  0.00275003  -0.774863
1929  07  0.164225  -0.855502
1929  08  0.0839337  -0.720533
1929  09  -0.182416  -0.422949
1929  10  -0.435179  -0.331802
1929  11  -0.225968  -0.426072
1929  12  -0.857385  0.231944
1930  01  -1.30017  0.71352
1930  02  -1.17116  0.616308
1930  03  -0.932436  0.551426
1930  04  -0.349839  0.174108
1930  05  -0.268846  0.0252666
1930  06  0.173235  -0.107444
1930  07  0.614588  -0.0491109
1930  08  0.855682  -0.0415267
1930  09  0.858957  0.210332
1930  10  0.780753  0.540488
1930  11  1.559  0.255475
1930  12  1.43826  0.261177
1931  01  1.44014  0.198625
1931  02  0.973475  0.248421
1931  03  0.940955  -0.244957
1931  04  0.800592  -0.20584
1931  05  -0.240048  0.146891
1931  06  -0.294686  -0.133058
1931  07  -0.322239  -0.173898
1931  08  -0.460559  -0.385769
1931  09  -0.58853  -0.795618
1931  10  -0.679831  -1.18595
1931  11  -1.12758  -0.79135
1931  12  -0.593501  -1.08489
1932  01  -0.0615097  -1.15655
1932  02  0.0956099  -0.82208
1932  03  0.287352  -0.449684
1932  04  0.702851  -0.484817
1932  05  0.842969  -0.514355
1932  06  0.572204  -0.560881
1932  07  0.131736  -0.378777
1932  08  0.153644  -0.877011
1932  09  0.348064  -1.28528
1932  10  0.111209  -0.941884
1932  11  0.0700425  -1.1815
1932  12  -0.349616  -1.08629
1933  01  -0.380768  -0.922976
1933  02  0.0195387  -1.10819
1933  03  0.140419  -1.27166
1933  04  0.12392  -1.33161
1933  05  -0.453034  -1.17022
1933  06  -0.554863  -1.59584
1933  07  -0.265218  -1.88387
1933  08  -0.0564827  -2.3226
1933  09  -0.228054  -2.33036
1933  10  -0.252714  -2.58657
1933  11  -0.116891  -2.65066
1933  12  0.0216317  -2.71214
1934  01  -0.249529  -2.2331
1934  02  -0.231951  -1.89607
1934  03  -0.107921  -1.77295
1934  04  -0.179101  -1.41975
1934  05  -0.599432  -0.740944
1934  06  0.113175  -0.704699
1934  07  0.175601  -0.699337
1934  08  0.337563  -0.971954
1934  09  0.126477  -1.31767
1934  10  -0.466643  -0.846229
1934  11  -0.976617  -0.52619
1934  12  -1.45466  -0.27237
1935  01  -1.47842  -0.263884
1935  02  -1.66731  -0.270973
1935  03  -1.18728  -0.309693
1935  04  -0.0480695  -0.991306
1935  05  0.14764  -1.21752
1935  06  -0.0481213  -1.13221
1935  07  0.228322  -1.00179
1935  08  0.0846096  -0.734778
1935  09  -0.351369  -0.235883
1935  10  -0.15531  -0.406444
1935  11  -0.156352  -0.786809
1935  12  -0.568965  -0.530981
1936  01  -0.874411  -0.130915
1936  02  -0.356545  -0.243749
1936  03  -0.250514  -0.606434
1936  04  0.0987508  -0.476357
1936  05  -0.402649  -0.367834
1936  06  -0.935141  -0.365875
1936  07  -0.706572  -0.584438
1936  08  -0.388166  -0.657
1936  09  -0.443174  -0.530151
1936  10  -0.541093  -0.610945
1936  11  -0.721479  -0.773211
1936  12  -1.3122  -0.694473
1937  01  -1.12348  -0.597017
1937  02  -0.541923  -0.256664
1937  03  -0.299846  -0.319558
1937  04  0.148494  -0.857872
1937  05  0.0730307  -0.826665
1937  06  -0.0342944  -0.723759
1937  07  0.118264  -0.829902
1937  08  0.413154  -0.807543
1937  09  -0.134822  -0.632556
1937  10  -0.451666  -0.294899
1937  11  -0.447848  -0.476161
1937  12  -0.428396  -0.691978
1938  01  -0.480198  -0.989576
1938  02  -0.744973  -0.876225
1938  03  -0.574092  -1.01779
1938  04  -0.895474  -1.15478
1938  05  -0.997673  -0.846782
1938  06  -1.323  -1.01783
1938  07  -0.397704  -1.96565
1938  08  -0.458493  -2.03939
1938  09  -0.603248  -1.49578
1938  10  -0.6989  -1.25848
1938  11  -0.290507  -1.83932
1938  12  -0.523242  -1.79265
1939  01  -0.0825593  -2.10957
1939  02  0.0476328  -1.82343
1939  03  -0.12016  -1.0666
1939  04  0.513668  -1.01764
1939  05  0.758067  -0.903411
1939  06  0.977051  -0.838534
1939  07  1.11144  -0.859557
1939  08  1.00661  -0.584178
1939  09  1.48055  -1.21409
1939  10  1.60398  -1.24748
1939  11  1.22769  -0.841836
1939  12  1.02804  -0.423142
1940  01  0.629028  0.696175
1940  02  0.230422  0.772078
1940  03  0.12832  0.824201
1940  04  0.291422  0.224814
1940  05  0.449752  0.0991993
1940  06  0.102206  0.118866
1940  07  -0.429738  0.346209
1940  08  -0.551289  0.610821
1940  09  -0.636858  0.876315
1940  10  0.0695759  0.469448
1940  11  0.297937  1.02885
1940  12  0.280837  1.40842
1941  01  0.477496  1.47116
1941  02  0.311894  1.73162
1941  03  0.23263  1.34473
1941  04  0.619004  0.878744
1941  05  0.641345  0.603111
1941  06  0.172613  0.605426
1941  07  -0.217566  0.658588
1941  08  -0.411032  0.711473
1941  09  0.0309338  0.268128
1941  10  0.116311  0.58522
1941  11  0.145415  0.885524
1941  12  0.634594  0.760966
1942  01  0.328477  0.764716
1942  02  -0.427341  0.905685
1942  03  -0.863607  0.825043
1942  04  -1.4618  1.16439
1942  05  -1.37006  0.756838
1942  06  -1.99899  0.452246
1942  07  -1.71046  -0.519741
1942  08  -1.51605  -1.16165
1942  09  -1.2093  -1.78245
1942  10  -1.37113  -1.77322
1942  11  -1.30222  -1.93518
1942  12  -0.721593  -2.23968
1943  01  0.177906  -2.65789
1943  02  -0.100462  -2.26727
1943  03  -0.29142  -1.81675
1943  04  0.47489  -1.518
1943  05  0.504049  -1.14925
1943  06  0.431921  -0.623945
1943  07  0.313258  -0.540363
1943  08  0.0283421  -0.60648
1943  09  -0.307375  -1.01037
1943  10  -0.0966996  -1.45675
1943  11  -0.201521  -1.27041
1943  12  -0.8377  -0.85341
1944  01  -0.60327  -0.795343
1944  02  -0.321731  -0.565549
1944  03  0.250298  -0.157496
1944  04  0.319139  -0.0614399
1944  05  -0.27694  -0.24245
1944  06  -0.444886  -0.143186
1944  07  0.149384  -0.0963198
1944  08  0.187701  -0.350184
1944  09  -0.706552  -0.362201
1944  10  -0.827499  -0.966866
1944  11  -1.08591  -0.867624
1944  12  -1.14978  -0.752694
1945  01  -0.113498  -1.25981
1945  02  0.493667  -1.86434
1945  03  0.553079  -2.26731
1945  04  0.435792  -1.97654
1945  05  0.571099  -1.4789
1945  06  0.0482196  -1.19251
1945  07  0.182352  -1.154
1945  08  0.206789  -1.0045
1945  09  0.258725  -1.03687
1945  10  0.0246829  -0.868181
1945  11  0.310002  -0.693359
1945  12  0.0147904  -0.600067
1946  01  0.00582775  -0.212065
1946  02  -0.423091  0.0513419
1946  03  -0.831611  0.181121
1946  04  -0.635045  0.294841
1946  05  -0.746053  -0.155516
1946  06  -1.02223  -0.721088
1946  07  -0.952427  -0.894766
1946  08  -1.0899  -1.0564
1946  09  -0.488356  -1.07078
1946  10  -0.826686  -0.404338
1946  11  -0.697599  -0.506759
1946  12  -0.731235  0.113718
1947  01  -0.734011  0.0814295
